task,surface,candidate_status,historical_comparator_status,equality,disposition
sepsis,cohort_role_episode_transition_counts,frozen,available,changed,affected
sepsis,feature_mask_target_recency_normalization_digests,frozen,available,not_equal_or_shape_affected,affected
sepsis,action_reward_termination_continuation_digests,frozen,available,not_equal_or_shape_affected,affected
sepsis,selected_numeric_feature_summaries,not_emitted,partially_available,not_assessed,required_M2_output
respiratory_support,cohort_role_episode_transition_counts,frozen,available,changed,affected
respiratory_support,feature_mask_target_recency_normalization_digests,frozen,available,not_equal_or_shape_affected,affected
respiratory_support,action_reward_termination_continuation_digests,frozen,available,not_equal_or_shape_affected,affected
respiratory_support,selected_numeric_feature_summaries,not_emitted,partially_available,not_assessed,required_M2_output
shock,cohort_role_episode_transition_counts,frozen,available,changed,affected
shock,feature_mask_target_recency_normalization_digests,frozen,available,not_equal_or_shape_affected,affected
shock,action_reward_termination_continuation_digests,frozen,available,not_equal_or_shape_affected,affected
shock,selected_numeric_feature_summaries,not_emitted,partially_available,not_assessed,required_M2_output
aki,cohort_role_episode_transition_counts,frozen,available,changed,affected
aki,feature_mask_target_recency_normalization_digests,frozen,available,not_equal_or_shape_affected,affected
aki,action_reward_termination_continuation_digests,frozen,available,not_equal_or_shape_affected,affected
aki,selected_numeric_feature_summaries,not_emitted,partially_available,not_assessed,required_M2_output
heart_failure,cohort_role_episode_transition_counts,frozen,available,changed,affected
heart_failure,feature_mask_target_recency_normalization_digests,frozen,available,not_equal_or_shape_affected,affected
heart_failure,action_reward_termination_continuation_digests,frozen,available,not_equal_or_shape_affected,affected
heart_failure,selected_numeric_feature_summaries,not_emitted,partially_available,not_assessed,required_M2_output
