task,surface,historical_evidence,candidate_evidence,comparison,disposition
sepsis,feature_order,sha256_2843f807,sha256_2843f807,equal,preserve_33_feature_SAFE_contract
sepsis,feature_mask_target_recency_imputation_normalization,retained_role_digests,frozen_candidate_role_digests,changed_or_shape_affected,recompute_all_real_EHR_prediction_and_uncertainty_outputs
sepsis,feature_observation_rates_and_selected_quantiles,historical_selected_feature_summary,not_emitted_by_frozen_candidate_receipt,not_comparable_without_new_v2_aggregate_reducer,emit_from_frozen_v2_inputs_in_M2
respiratory_support,feature_order,sha256_2843f807,sha256_2843f807,equal,preserve_33_feature_SAFE_contract
respiratory_support,feature_mask_target_recency_imputation_normalization,retained_role_digests,frozen_candidate_role_digests,changed_or_shape_affected,recompute_all_real_EHR_prediction_and_uncertainty_outputs
respiratory_support,feature_observation_rates_and_selected_quantiles,historical_selected_feature_summary,not_emitted_by_frozen_candidate_receipt,not_comparable_without_new_v2_aggregate_reducer,emit_from_frozen_v2_inputs_in_M2
shock,feature_order,sha256_2843f807,sha256_2843f807,equal,preserve_33_feature_SAFE_contract
shock,feature_mask_target_recency_imputation_normalization,retained_role_digests,frozen_candidate_role_digests,changed_or_shape_affected,recompute_all_real_EHR_prediction_and_uncertainty_outputs
shock,feature_observation_rates_and_selected_quantiles,historical_selected_feature_summary,not_emitted_by_frozen_candidate_receipt,not_comparable_without_new_v2_aggregate_reducer,emit_from_frozen_v2_inputs_in_M2
aki,feature_order,sha256_2843f807,sha256_2843f807,equal,preserve_33_feature_SAFE_contract
aki,feature_mask_target_recency_imputation_normalization,retained_role_digests,frozen_candidate_role_digests,changed_or_shape_affected,recompute_all_real_EHR_prediction_and_uncertainty_outputs
aki,feature_observation_rates_and_selected_quantiles,historical_selected_feature_summary,not_emitted_by_frozen_candidate_receipt,not_comparable_without_new_v2_aggregate_reducer,emit_from_frozen_v2_inputs_in_M2
heart_failure,feature_order,sha256_2843f807,sha256_2843f807,equal,preserve_33_feature_SAFE_contract
heart_failure,feature_mask_target_recency_imputation_normalization,retained_role_digests,frozen_candidate_role_digests,changed_or_shape_affected,recompute_all_real_EHR_prediction_and_uncertainty_outputs
heart_failure,feature_observation_rates_and_selected_quantiles,historical_selected_feature_summary,not_emitted_by_frozen_candidate_receipt,not_comparable_without_new_v2_aggregate_reducer,emit_from_frozen_v2_inputs_in_M2
