task,role,axis,historical,candidate,absolute_difference,relative_difference,status
sepsis,train,subjects,15207,14644,-563,-0.037022423884,changed
sepsis,train,episodes,18264,17561,-703,-0.038491020587,changed
sepsis,train,decisions,145925,140237,-5688,-0.038978927531,changed
sepsis,validation,subjects,3340,3239,-101,-0.030239520958,changed
sepsis,validation,episodes,4001,3863,-138,-0.034491377156,changed
sepsis,validation,decisions,31992,30864,-1128,-0.035258814704,changed
sepsis,historical_other,subjects,3290,3189,-101,-0.030699088146,changed
sepsis,historical_other,episodes,4007,3880,-127,-0.031694534565,changed
sepsis,historical_other,decisions,31969,30924,-1045,-0.032687916419,changed
sepsis,all_roles,subjects,21837,21072,-765,-0.035032284654,changed
sepsis,all_roles,episodes,26272,25304,-968,-0.036845310597,changed
sepsis,all_roles,decisions,209886,202025,-7861,-0.037453665323,changed
respiratory_support,train,subjects,14516,14524,8,0.000551116010,changed
respiratory_support,train,episodes,16836,16845,9,0.000534568781,changed
respiratory_support,train,decisions,97861,97928,67,0.000684644547,changed
respiratory_support,validation,subjects,2985,2988,3,0.001005025126,changed
respiratory_support,validation,episodes,3471,3475,4,0.001152405647,changed
respiratory_support,validation,decisions,20222,20231,9,0.000445059836,changed
respiratory_support,historical_other,subjects,3091,3092,1,0.000323519896,changed
respiratory_support,historical_other,episodes,3607,3608,1,0.000277238703,changed
respiratory_support,historical_other,decisions,21015,21026,11,0.000523435641,changed
respiratory_support,all_roles,subjects,20592,20604,12,0.000582750583,changed
respiratory_support,all_roles,episodes,23914,23928,14,0.000585431128,changed
respiratory_support,all_roles,decisions,139098,139185,87,0.000625458310,changed
shock,train,subjects,30515,30523,8,0.000262166148,changed
shock,train,episodes,40791,40802,11,0.000269667329,changed
shock,train,decisions,319052,319165,113,0.000354174241,changed
shock,validation,subjects,6488,6488,0,0.000000000000,equal
shock,validation,episodes,8686,8688,2,0.000230255584,changed
shock,validation,decisions,67831,67859,28,0.000412790612,changed
shock,historical_other,subjects,6551,6553,2,0.000305296901,changed
shock,historical_other,episodes,8748,8750,2,0.000228623685,changed
shock,historical_other,decisions,68191,68218,27,0.000395946679,changed
shock,all_roles,subjects,43554,43564,10,0.000229600037,changed
shock,all_roles,episodes,58225,58240,15,0.000257621297,changed
shock,all_roles,decisions,455074,455242,168,0.000369170728,changed
aki,train,subjects,13464,13580,116,0.008615567439,changed
aki,train,episodes,17368,17549,181,0.010421464763,changed
aki,train,decisions,149224,150529,1305,0.008745242052,changed
aki,validation,subjects,2892,2917,25,0.008644536653,changed
aki,validation,episodes,3658,3702,44,0.012028430837,changed
aki,validation,decisions,31299,31660,361,0.011533914822,changed
aki,historical_other,subjects,2882,2906,24,0.008327550312,changed
aki,historical_other,episodes,3749,3786,37,0.009869298480,changed
aki,historical_other,decisions,31910,32167,257,0.008053901598,changed
aki,all_roles,subjects,19238,19403,165,0.008576775133,changed
aki,all_roles,episodes,24775,25037,262,0.010575176589,changed
aki,all_roles,decisions,212433,214356,1923,0.009052265891,changed
heart_failure,train,subjects,17640,17951,311,0.017630385488,changed
heart_failure,train,episodes,20216,20612,396,0.019588444796,changed
heart_failure,train,decisions,158997,162656,3659,0.023013012824,changed
heart_failure,validation,subjects,3893,3965,72,0.018494734138,changed
heart_failure,validation,episodes,4468,4559,91,0.020367054611,changed
heart_failure,validation,decisions,35080,35909,829,0.023631698974,changed
heart_failure,historical_other,subjects,3845,3910,65,0.016905071521,changed
heart_failure,historical_other,episodes,4407,4494,87,0.019741320626,changed
heart_failure,historical_other,decisions,34601,35421,820,0.023698737031,changed
heart_failure,all_roles,subjects,25378,25826,448,0.017653085350,changed
heart_failure,all_roles,episodes,29091,29665,574,0.019731188340,changed
heart_failure,all_roles,decisions,228678,233986,5308,0.023211677555,changed
