artifact,identity,status
base_commit,0331aa36e5b09824d5a1a04dc5b189976458ddaa,verified
preserved_kdd220m1_commit,eaa08728b09fa150e5e23999f35766f44218d48b,verified_clean
patched_lineage_source_sha256,08d65ba14a0ad7df9afd6805c4fa04ed3fadc888bb822c1f12ce77336fcbc020,frozen_before_access
runtime_config_sha256,d731ea37e4cb47e20e76dc7d6de8160fe361da88ebf6d2385d2a50b096f84c89,frozen_before_access
aggregate_schema_sha256,1f229de694f995b9a500270f3e411dab8bddfee46b15ac038bdb1a21b561f117,frozen_before_access
controlled_stop_schema_sha256,15d84e9f5988d63dd61edb9a8667d59544a7e52481efbe1029bb8b83c01cd374,frozen_before_access
dependency_lock_sha256,20fdf5d204803e8b94e3afaf70d9b43e15d2d3aed34f0c6ea09be48f2d64e223,frozen_before_access
python,3.11.15,frozen_before_access
focused_fixture_sha256,0212d9b45e0aca9fae44e4527e32e4c0919d33e2b787b41586a91328c770817c,frozen_before_access
m1_contract_manifest_sha256,93076ad775b90043a493d7463602c35cd34acadcf95b6ad191010b5bfbceac4e,verified_before_access
m1_refresh_manifest_sha256,47099e325f0c35c5b51d64043ce1f0dedb6d1f529635de2085ad28b4711ae799,verified_before_access
