source,identity_type,identity,status,role
public_base,git_commit,f030c5793e4519a2b961eda1085d0bbeef29dbd0,pass,current_public_source
kdd212,git_commit,f7d8123f6b2156afe0e754b76478361a7f1fc3af,pass,public_release_ancestor
kdd215r,git_commit,d94a1ea,pass,bounded_policy_entrant_ancestor
kdd216r,git_commit,dda838b9867fbf6a75be391ca669f8a32954a580,pass,clean_clone_release_ancestor
kdd198_generator_contract,file_sha256,0b452d491f2124b6c95853f03c83fbff5114416a0e7c70be9b8923f651d92f10,pass,repaired_generator
kdd198_authoritative_source,file_sha256,257b540dd63c971a57e7e76f07990ada7cd7eaa5f987196372737105b5983d84,pass,import_receipt_identity
kdd199_direct_evaluator,file_sha256,6132f697a235ac441c0dac25405f9f71474889756ad27d447a799e5166a3625e,pass,authoritative_direct_return
kdd198_result_tree,result_tree_sha256,5d2d2f617fefe779c3aecb947351d7d7f5203a2e1afb0d09b3bc4ecd4447b8fc,pass,current_lineage
kdd199_result_tree,result_tree_sha256,c2fbce728f7c021fb6d1abba02843ab3286645e7020ab4889f4aa2b8aaab69aa,pass,current_lineage
kdd224_config,config_sha256,82a75d0733d1226e51a9bec9b805a5a5e3e6baa6cdf222f814f682709cfd92fa,pass,candidate_to_planner_contract
kdd224_helper,file_sha256,9148c453ced2fc9c11bbb17569767e02ee9091066f050e6a85ca3516a0195fdf,pass,metric_and_selector_definitions
kdd224_result_tree,result_tree_sha256,dd640015eba3b52c962436c5016b390332b4693c8b514bb30871e2975fc1fd24,pass,current_validation_lineage
kdd232_config,config_sha256,42ea51c5a24a96b234795cf10cda5b2cd1ee5d0c6745f32e109eba904a8d137a,pass,uncertainty_planning_contract
kdd232_helper,file_sha256,0258a1fa7b941af96914a3e15ff153a8683da9e9d6b7a6db89805e2a76cb634c,pass,uncertainty_definitions
h4_planner_source,file_sha256,f019aa6d4bdf71cd0340d037fe022d8a8eeccf5d5d61a1f69e5b2cde458a3d62,pass,frozen_planner
