capability,status,scope_or_reason
typed observable-history input schema,Yes,kdd235a.request.v1
point recursive prediction,Yes,world_model_entrant_example/point.json
single-Gaussian recursive prediction,Yes,world_model_entrant_example/gaussian.json and recursive_world_model_entrant
Gaussian ensemble recursive prediction,Yes,world_model_entrant_example/ensemble.json
one-step forecasting,Yes,all 40 constructed environments
11-step recursive forecasting,Yes,440 aggregate horizon rows
native uncertainty scoring,Yes,Gaussian and ensemble entrants
point-model uncertainty,Structural N/A,point entrants cannot fabricate predictive distributions
H4 support-only categorical CEM,Yes,64 candidates 3 iterations 8 elites smoothing 0.2
full-episode direct return,Yes,40 constructed-environment rows
64-dataset repeated OPE,Yes,6 estimators and 240 aggregate summary rows
scientific leaderboard admission,No,demonstration entrant lacks a separately preregistered matched training contract
independent EHR reconstruction,No,constructed benchmark only
clinical deployment or treatment recommendation,No,outside released evidence boundary
