identity,expected_or_frozen,observed,status
KDD220M1_commit,eaa08728b09fa150e5e23999f35766f44218d48b,eaa08728b09fa150e5e23999f35766f44218d48b,pass
KDD220M1_decision,complete_canonical_v2_lineage_freeze_with_bounded_refresh_scope,complete_canonical_v2_lineage_freeze_with_bounded_refresh_scope,pass
canonical_v2_task_manifest_sha256,93076ad775b90043a493d7463602c35cd34acadcf95b6ad191010b5bfbceac4e,93076ad775b90043a493d7463602c35cd34acadcf95b6ad191010b5bfbceac4e,pass
affected_manifest_sha256,47099e325f0c35c5b51d64043ce1f0dedb6d1f529635de2085ad28b4711ae799,47099e325f0c35c5b51d64043ce1f0dedb6d1f529635de2085ad28b4711ae799,pass
KDD220M2_decision,complete_required,stop_refresh_source_training_evaluation_or_privacy_failure,blocking
KDD220M2_decision_sha256,complete_refresh_receipt,b6669f49d5fdf5db7732f37b1007444bcd732fb1468e0c2274522f3332938f,blocking
KDD220M2_failure_ledger_sha256,complete_refresh_receipt,4b0eb511de14649a5cdd1d60484e167af4a1ad8e50be09bf8b93deeb3720103c,blocking
KDD245_preserved_tree_sha256,5734bf6a819d20655769b418ca683bd02645698571cfab3803a295bf7763084e,5734bf6a819d20655769b418ca683bd02645698571cfab3803a295bf7763084e,pass
KDD245R_preserved_tree,if_present,not_present_in_frozen_M1_tree,recorded_absence_no_reconstruction
remote_v2_0_0_tag,absent,absent,pass
