path,asset_class,functional_necessity,scope_status
.gitignore,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
CANONICAL_SERIALIZATION.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
CITATION.cff,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
EHR_COMPONENT_SCORER.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
ETHICS_AND_MISUSE.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
KNOWN_LIMITATIONS.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
LICENSE,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
LICENSE_NOTES.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
MANIFEST.sha256,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
MIGRATION_V2.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
MIMIC_ACCESS.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
OPE_CONTRACT.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
README.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
RECURSIVE_WORLD_MODEL_ENTRANT.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
RELEASE_ASSET_LICENSES.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
SCHEMA_VALIDATION.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
component_entrant_example/entrant.json,entrant_runtime_or_example,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
component_entrant_example/entrant.py,entrant_runtime_or_example,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/ehr_component/canonical_v2_scorer.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/full_benchmark/kdd198_v2_generator_contract.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/full_benchmark/kdd235b_full_external_entrant.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/public_pomdp/kdd198_repaired_v2.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/af_rate_rhythm_k25.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/aki_no_rich_action_exclusion.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/ami_fluid_vasopressor_k25.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/hf_no_rich_action_exclusion.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/respiratory_peep_fio2_observed_k25.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/sepsis_original25_reference.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/rich_action/shock_fluid_vasopressor_k25.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_af_rate_anticoag_compact_3bin.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_aki_diuretic_rrt_factorized_3bin.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_ami_hemodynamic_compact_3bin.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_hf_diuretic_binary.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_respiratory_peep_5bin.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_sepsis_vasopressor_3bin.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
configs/tasks/kdd2027_shock_fluid_bolus_binary.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
contracts/gate_contracts.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
contracts/kdd187_parity_contract.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
contracts/preprocessing_contract.json,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
dictionaries/actions.csv,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
dictionaries/baseline_fidelity.csv,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
dictionaries/features.csv,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
dictionaries/metric_availability.csv,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
dictionaries/rewards.csv,contract_or_schema,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
entrant/FAILURE_SEMANTICS.md,entrant_runtime_or_example,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
entrant/METHOD_CARDS.md,entrant_runtime_or_example,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
entrant_protocol.md,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
environment-rocky-linux.yml,documentation_or_packaging,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
expected/canonical_v2_five_task_manifest.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
expected/synthetic_aggregate_metrics.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd212_expected/public_ope_smoke.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd212_expected/public_pomdp_smoke.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd212_public_smoke_hashes.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd214_expected/computed_smoke.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd214_expected/synthetic_fixture.csv,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd214_expected/unrounded_float_repr.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd215_expected/runtime_probe.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd245v2r/ensemble.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd245v2r/gaussian.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/kdd245v2r/point.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/synthetic_small.csv,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
fixtures/transition_submission_small.json,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
invalid_entrant_fixtures/README.md,synthetic_fixture_or_expected_output,install_test_score_or_constructed_entrant,included_under_kddg020s2_runtime_boundary
