artifact,identity,status,interpretation
original_r2_preservation_commit,72837dafc303f0d49d9c24d1999fbba62eb94a36,pass,original_stop_preserved
r2a_authority_commit,f2c6d770e41c284895050c46ef521dbba17d42d4,pass,reporting_only_authorization
r2a_decision,authorize_kdd220m2r2_scientific_outputs_after_reporting_only_privacy_adjudication,pass,terminal_refresh_prerequisite_satisfied
counterfactual_m2_decision,complete_canonical_v2_refresh_with_required_claim_updates,pass,scientific_refresh_disposition
original_r2_tree,110dbae9f23ed42a7c4f518591c81126c54ec51d81474d6519eb08a2166eff93,pass,immutable_provenance
scientific_surface,848be7b3103f6272c020e4ba1a7c23fe278c51bfd4aaf2d7ad53a171569a5505,pass,canonical_v2_scientific_surface
public_constructor_commit,79deff45c5d4e5349e4ce648e212e6fbce1a27bd,pass,exact_public_source
scientific_config,46026d7d59959c80d7518647423174ae9c543504ac1020ed2da65b28a799bea6,pass,frozen
benchmark_version,ehrdyn-icu-canonical-v2.0.0,pass,major_lineage_version
evaluator_version,ehr-component-scorer-v2.0.0,pass,typed_aggregate_scorer
