surface,status,scope,claim_boundary
one_step_forecasting,Yes,five_canonical_v2_tasks,observed_cell_prediction
recursive_forecasting,Yes,task_bounded_10_or_11_steps,logged_action_conditioned_prediction
point_metrics,Yes,observed_cells,aggregate_only
probabilistic_metrics,Yes,gaussian_and_ensemble,when_mathematically_defined
calibration_and_intervals,Yes,50_80_90_95_percent,empirical_diagnostics
risk_coverage,Yes,uncertainty_ranked_retention,diagnostic_only
termination,Yes,frozen_task_horizon,predictive_component
support_overlap_ess,Yes,retrospective_logged_actions,diagnostic_only
planning,No,real_EHR,unsupported
direct_return,Structural N/A,real_EHR,counterfactual_truth_unavailable
known_policy_value,Structural N/A,real_EHR,counterfactual_truth_unavailable
treatment_benefit,No,real_EHR,causal_claim_unsupported
clinical_utility,No,real_EHR,not_evaluated
independent_reconstruction,No,KDD245V2R,author_side_and_portability_only
