gate,status,detail
raw_clinical_rows,pass,no_release_rows
patient_identifiers,pass,no_identifier_fields
exact_timestamps,pass,no_clinical_times
split_membership,pass,no_membership_export
trajectories_arrays_checkpoints,pass,no_restricted_artifacts
credentials_tokens_secrets,pass,no_secret_material
absolute_private_paths,pass,no_private_path
historical_result_dependency,pass,identity_only_no_runtime_dependency
mimic_result_bundle,pass,not_included
aggregate_outputs,pass,release_receipts_only
repository_release_scan,pass,648_files_zero_findings_before_final_manifest_refresh
restricted_csv_header_scan,pass,zero_findings
