metric,prediction_forms,definition,structural_na_rule
observed_cell_rmse,point_gaussian_ensemble,sqrt_mean_squared_error_over_target_mask,never
one_step_rmse,point_gaussian_ensemble,observed_cell_rmse_at_horizon_step_1,null_when_no_step_1
recursive_rmse,point_gaussian_ensemble,observed_cell_rmse_separately_by_horizon,never
gaussian_crps,gaussian_ensemble,closed_form_normal_crps,point
coverage_50_80_90_95,gaussian_ensemble,empirical_absolute_error_inside_normal_interval,point
interval_width_50_80_90_95,gaussian_ensemble,mean_two_sided_normal_interval_width,point
mace,gaussian_ensemble,mean_absolute_empirical_coverage_minus_nominal,point
risk_coverage_area,gaussian_ensemble,trapezoid_rmse_over_uncertainty_retention_grid_0.1_to_1.0,point
ensemble_scale,ensemble,sqrt_mean_within_variance_plus_between_mean_variance,point_or_single_gaussian
floating_tolerance,all,rtol_and_atol_1e-12_for_declared_identity_checks,never
