component,definition,availability,boundary
termination_brier,mean_squared_probability_error,all_five_tasks,prediction_only
termination_log_loss,binary_log_loss_with_numeric_guard,all_five_tasks,prediction_only
termination_accuracy,threshold_0.5_accuracy,all_five_tasks,descriptive
supported_fraction,logged_actions_marked_supported,all_five_tasks,retrospective_diagnostic
overlap_fraction,supported_records_with_positive_importance_weight,all_five_tasks,retrospective_diagnostic
behavior_denominator_nll,negative_log_logged_action_probability,all_five_tasks,retrospective_diagnostic
importance_weight_ess,squared_weight_sum_over_sum_squared_weights,all_five_tasks,retrospective_diagnostic
unsupported_target_mass,target_mass_on_unsupported_logged_actions,all_five_tasks,retrospective_diagnostic
suppression,distinct_subjects_below_100_or_episodes_below_100,real_EHR_only,aggregate_privacy
planning,not_implemented,Structural_NA,no_known_counterfactual_truth
direct_return,not_implemented,Structural_NA,no_known_counterfactual_truth
policy_value_truth,not_implemented,Structural_NA,no_known_counterfactual_truth
