task,mode,method,reference,point_delta_rmse,ci_lower_95,ci_upper_95,bootstrap_replicates,bootstrap_unit,bootstrap_seed,raw_two_sided_p,holm_adjusted_p
sepsis,one_step,persistence_locf,local_hgb_residual,0.075394004194405,0.06883784111249593,0.0811831173141471,1000,subject_cluster,8813408,0.0,0.0
sepsis,one_step,previous_window_deterministic,local_hgb_residual,0.15114871012640407,0.14328926138842052,0.15892992160071248,1000,subject_cluster,8813408,0.0,0.0
sepsis,one_step,local_ridge_residual,local_hgb_residual,0.0028950813199351,-0.0022334499621941726,0.009747827494485573,1000,subject_cluster,8813408,0.294,0.588
sepsis,one_step,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
sepsis,one_step,local_gru_residual,local_hgb_residual,0.020464555463397982,0.015532445528802405,0.024875147889120354,1000,subject_cluster,8813408,0.0,0.0
sepsis,one_step,clean_gaussian_transition,local_hgb_residual,0.026488814691965623,0.022292294319935374,0.030095821356076854,1000,subject_cluster,8813408,0.0,0.0
sepsis,conditional_recursive,persistence_locf,local_hgb_residual,0.14746139642890044,0.11748834660933415,0.17573029691091935,1000,subject_cluster,8813408,0.0,0.0
sepsis,conditional_recursive,previous_window_deterministic,local_hgb_residual,0.1800202914149579,0.15259624169123767,0.20522171734096586,1000,subject_cluster,8813408,0.0,0.0
sepsis,conditional_recursive,local_ridge_residual,local_hgb_residual,0.014498104871946804,0.009177575619281567,0.020729494976456823,1000,subject_cluster,8813408,0.0,0.0
sepsis,conditional_recursive,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
sepsis,conditional_recursive,local_gru_residual,local_hgb_residual,0.015733178493180233,0.0013562579884392634,0.027629175521842332,1000,subject_cluster,8813408,0.038,0.076
sepsis,conditional_recursive,clean_gaussian_transition,local_hgb_residual,0.027726585298669892,0.01382468300668505,0.03895361454825257,1000,subject_cluster,8813408,0.0,0.0
respiratory,one_step,persistence_locf,local_hgb_residual,0.1274698629284956,0.12374754232375387,0.13121890407174808,1000,subject_cluster,8813408,0.0,0.0
respiratory,one_step,previous_window_deterministic,local_hgb_residual,0.20970495497472275,0.20507950940764477,0.21525919711755104,1000,subject_cluster,8813408,0.0,0.0
respiratory,one_step,local_ridge_residual,local_hgb_residual,0.0009373259405864864,-0.0007274708763650466,0.0024434188496341045,1000,subject_cluster,8813408,0.252,0.504
respiratory,one_step,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
respiratory,one_step,local_gru_residual,local_hgb_residual,0.0035395532030911836,0.0019636217935883383,0.005230939164896989,1000,subject_cluster,8813408,0.0,0.0
respiratory,one_step,clean_gaussian_transition,local_hgb_residual,0.012327267336260439,0.010556058913320482,0.014165443841594516,1000,subject_cluster,8813408,0.0,0.0
respiratory,conditional_recursive,persistence_locf,local_hgb_residual,0.2747773288788836,0.26209182568146866,0.2880737785559908,1000,subject_cluster,8813408,0.0,0.0
respiratory,conditional_recursive,previous_window_deterministic,local_hgb_residual,0.22652401489174367,0.2182737721373257,0.23489249346275565,1000,subject_cluster,8813408,0.0,0.0
respiratory,conditional_recursive,local_ridge_residual,local_hgb_residual,0.006048459875028889,0.0027905933294351147,0.009317772127753107,1000,subject_cluster,8813408,0.0,0.0
respiratory,conditional_recursive,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
respiratory,conditional_recursive,local_gru_residual,local_hgb_residual,0.012199323197014333,0.00940120945135942,0.015554853789271341,1000,subject_cluster,8813408,0.0,0.0
respiratory,conditional_recursive,clean_gaussian_transition,local_hgb_residual,0.021922401205744513,0.018624535126135523,0.025588886259624914,1000,subject_cluster,8813408,0.0,0.0
aki,one_step,persistence_locf,local_hgb_residual,0.07938263170797433,0.07711202754942319,0.08176586359992137,1000,subject_cluster,8813408,0.0,0.0
aki,one_step,previous_window_deterministic,local_hgb_residual,0.15731789469771662,0.15226984003414978,0.16244320771442747,1000,subject_cluster,8813408,0.0,0.0
aki,one_step,local_ridge_residual,local_hgb_residual,0.0006625651235068197,-0.0009570092017200132,0.0021976416344625074,1000,subject_cluster,8813408,0.408,0.816
aki,one_step,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
aki,one_step,local_gru_residual,local_hgb_residual,0.0009088039603059039,-0.00047894203825630806,0.0022273834843174575,1000,subject_cluster,8813408,0.196,0.5880000000000001
